City	Month	Year	CO	O3	Temperature
Fez	1	2005	8.574	209.702	25
Fez	1	2005	5.631	268.108	28
Fez	1	2005	10.065	244.953	18
Fez	1	2005	11.969	280.231	22
Casablanca	1	2005	9.802	266.204	26
Casablanca	1	2005	5.435	280.596	17
Casablanca	1	2005	4.189	209.141	26
Casablanca	1	2005	9.739	236.49	29
Casablanca	1	2005	13.274	251.879	24
Casablanca	1	2005	8.585	215.223	25
Casablanca	1	2005	12.738	247.053	26
Rabat	1	2005	4.137	222.403	26
Rabat	1	2005	6.584	242.558	14
Rabat	1	2005	12.324	211.611	18
Rabat	1	2005	4.523	259.342	12
Meknes	1	2005	11.769	276.54	24
Meknes	1	2005	9.234	242.114	25
Meknes	1	2005	11.609	281.639	13
Meknes	1	2005	6.408	276.464	25
Fez	1	2005	13.079	282.326	13
Fez	1	2005	11.383	279.811	13
Fez	1	2005	10.12	230.945	10
Fez	1	2005	6.859	215.621	14
Fez	1	2005	8.295	284.821	13
Casablanca	1	2005	13.173	220.852	27
Casablanca	1	2005	12.207	252.745	22
Casablanca	1	2005	7.154	259.583	24
Casablanca	1	2005	5.112	261.626	12
Casablanca	1	2005	6.781	214.752	12
Casablanca	1	2005	6.379	266.416	27
Casablanca	1	2005	5.141	226.881	19
Rabat	1	2005	5.38	246.684	13
Rabat	1	2005	10.973	204.96	20
Rabat	1	2005	7.688	204.968	26
Rabat	1	2005	4.864	215.81	26
Meknes	1	2005	11.155	208.597	21
Meknes	1	2005	6.601	252.847	14
Meknes	1	2005	5.067	266.725	20
Meknes	1	2005	13.416	209.059	10
Fez	1	2005	9.198	273.681	24
Fez	1	2005	9.175	213.808	26
Fez	1	2005	7.692	201.288	24
Fez	1	2005	8.661	290.234	23
Fez	1	2005	13.031	218.945	16
Casablanca	1	2005	4.898	231.827	21
Casablanca	1	2005	6.252	228.148	23
Casablanca	1	2005	6.438	251.057	23
Casablanca	1	2005	13.756	209.987	29
Casablanca	1	2005	8.803	243.894	28
Casablanca	1	2005	8.509	296.361	22
Casablanca	1	2005	9.066	222.751	18
Rabat	1	2005	11.003	260.746	21
Rabat	1	2005	8.625	228.54	20
Rabat	1	2005	12.474	244.374	18
Rabat	1	2005	11.012	230.562	15
Meknes	1	2005	12.178	215.92	15
Meknes	1	2005	9.219	291.549	14
Meknes	1	2005	11.619	254.891	10
Meknes	1	2005	10.291	216.848	27
Fez	1	2005	4.357	293.998	13
Fez	1	2005	8.863	284.691	20
Fez	1	2005	7.317	256.25	27
Fez	1	2005	4.826	296.912	20
Fez	1	2005	10.185	295.63	14
Casablanca	1	2005	7.752	246.896	17
Casablanca	1	2005	11.607	270.507	10
Casablanca	1	2005	6.518	284.524	16
Casablanca	1	2005	5.032	220.16	15
Casablanca	1	2005	11.485	275.921	17
Casablanca	1	2005	11.321	224.328	20
Casablanca	1	2005	12.441	209.801	24
Rabat	1	2005	7.405	234.104	18
Rabat	1	2005	5.75	286.446	24
Rabat	1	2005	9.126	275.993	15
Rabat	1	2005	8.821	286.954	12
Meknes	1	2005	5.418	256.633	15
Meknes	1	2005	7.06	282.598	20
Meknes	1	2005	7.279	295.866	21
Meknes	1	2005	7.81	251.717	16
Fez	1	2005	8.126	261.974	18
Fez	1	2005	12.436	299.151	14
Fez	1	2005	6.947	289.267	12
Fez	1	2005	6.166	253.161	20
Fez	1	2005	12.394	260.273	29
Casablanca	1	2005	10.033	278.155	23
Casablanca	1	2005	6.125	257.907	23
Casablanca	1	2005	7.53	261.742	15
Casablanca	1	2005	8.507	261.022	27
Casablanca	1	2005	10.489	285.247	13
